"ID","STRASSE","ORTSTEIL","PLZ","VORWAHL"
300,Leberblümchenweg,Steinhagen,33803,5204
301,Wilhelmstr.,Steinhagen,33803,5204
302,Bachstr.,Steinhagen,33803,5204
303,Fanny-Hensel-Hof,Steinhagen,33803,5204
304,Holbeinweg,Steinhagen,33803,5204
305,Nimmersather Str.,Steinhagen,33803,5204
306,Erfurter Str.,Steinhagen,33803,5204
307,Am Dämmer,Steinhagen,33803,5204
308,Margeritenweg,Steinhagen,33803,5204
309,Jahnstr.,Steinhagen,33803,5204
310,Flurstr.,Steinhagen,33803,5204
311,An der Brake,Steinhagen,33803,5204
312,Bodelschwinghstr.,Steinhagen,33803,5204
313,Schweriner Str.,Steinhagen,33803,5204
314,Mirabellenstr.,Steinhagen,33803,5204
315,Geraer Str.,Steinhagen,33803,5204
316,Brombeerstr.,Steinhagen,33803,5204
317,Suhler Str.,Steinhagen,33803,5204
318,Obernheide,Steinhagen,33803,5204
319,Kollwitzweg,Steinhagen,33803,5204
320,Böckstiegelweg,Steinhagen,33803,5204
321,Greifswalder Str.,Steinhagen,33803,5204
322,Traubenstr.,Steinhagen,33803,5204
323,Primelstr.,Steinhagen,33803,5204
324,Lange Str.,Steinhagen,33803,5204
325,Luise-Rinser-Hof,Steinhagen,33803,5204
326,Hamsterweg,Steinhagen,33803,5204
327,Dahlienstr.,Steinhagen,33803,5204
328,Waldbadstr.,Steinhagen,33803,5204
329,Aprikosenstr.,Steinhagen,33803,5204
330,Rembrandtweg,Steinhagen,33803,5204
331,Rohbrannthof,Steinhagen,33803,5204
332,Heimchenweg,Steinhagen,33803,5204
333,Dürerweg,Steinhagen,33803,5204
334,Wolfspfad,Steinhagen,33803,5204
335,Bahndamm,Steinhagen,33803,5204
336,Rolandstr.,Steinhagen,33803,5204
337,Oberes Feld,Steinhagen,33803,5204
338,Bergstr.,Steinhagen,33803,5204
339,Schlehenstr.,Steinhagen,33803,5204
340,Marienburger Str.,Steinhagen,33803,5204
341,Jenaer Str.,Steinhagen,33803,5204
342,Mozartstr.,Steinhagen,33803,5204
343,Voßhof,Steinhagen,33803,5204
344,Ginsterstr.,Steinhagen,33803,5204
345,Dattelstr.,Steinhagen,33803,5204
346,Bromberger Str.,Steinhagen,33803,5204
347,Brucknerstr.,Steinhagen,33803,5204
348,Albertstr.,Steinhagen,33803,5204
349,Osterfeldstr.,Steinhagen,33803,5204
350,Krokusweg,Steinhagen,33803,5204
351,Unteres Feld,Steinhagen,33803,5204
352,Große Heide,Steinhagen,33803,5204
353,Carl-Benz-Str.,Steinhagen,33803,5204
354,Tulpenstr.,Steinhagen,33803,5204
355,Am Markt,Steinhagen,33803,5204
356,Quellental,Steinhagen,33803,5204
357,Laurentiusweg,Steinhagen,33803,5204
358,Marie-Curie-Hof,Steinhagen,33803,5204
359,Hanfgarten,Steinhagen,33803,5204
360,Kalberkamp,Steinhagen,33803,5204
361,Danziger Str.,Steinhagen,33803,5204
362,Waldenburger Str.,Steinhagen,33803,5204
363,Resedastr.,Steinhagen,33803,5204
364,Lise-Meitner-Str.,Steinhagen,33803,5204
365,Taschehof,Steinhagen,33803,5204
366,Egbertstr.,Steinhagen,33803,5204
367,Bahnhofstr.,Steinhagen,33803,5204
368,Rostocker Str.,Steinhagen,33803,5204
369,Mönchsweg,Steinhagen,33803,5204
370,Händelstr.,Steinhagen,33803,5204
371,Patthorster Str.,Steinhagen,33803,5204
372,Schloßallee,Steinhagen,33803,5204
373,Marienstr.,Steinhagen,33803,5204
374,Johannesweg,Steinhagen,33803,5204
375,Borsigstr.,Steinhagen,33803,5204
376,Siegfriedstr.,Steinhagen,33803,5204
377,Mühlenstr.,Steinhagen,33803,5204
378,Wacholderhof,Steinhagen,33803,5204
379,Gladiolenstr.,Steinhagen,33803,5204
381,Berghagen,Ascheloh,33790,5201
382,Nordstr.,Ascheloh,33790,5201
383,Teichstr.,Ascheloh,33790,5201
384,Am Lotteberg,Ascheloh,33790,5201
385,Steinweg,Ascheloh,33790,5201
386,Hengeberg,Ascheloh,33790,5201
387,Berghof,Ascheloh,33790,5201
388,Grüner Weg,Ascheloh/Halle,33790,5201
389,Ascheloher Weg,Ascheloh,33790,5201
390,Heuweg,Bokel,33790,5201
391,Bockemühlenweg,Bokel,33790,5201
392,Haferstr.,Bokel,33790,5201
393,Ernteweg,Bokel,33790,5201
394,Söderkamp,Bokel,33790,5201
395,Versmolder Str.,Bokel,33790,5201
396,Dahlbreede,Bokel,33790,5201
397,Tatenhausener Str.,Bokel,33790,5201
398,Ringstr.,Bokel,33790,5201
399,Hainweg,Bokel,33790,5201
400,Brückenstr.,Bokel,33790,5201
401,Saurer-Acker-Weg,Bokel,33790,5201
402,Landmannstr.,Bokel,33790,5201
403,Angerweg,Bokel,33790,5201
404,Querstr.,Bokel,33790,5201
405,Ziegelstr.,Bokel,33790,5201
406,Keimstr.,Bokel,33790,5201
407,Wästenweg,Bokel,33790,5201
408,Zwergstr.,Bokel,33790,5201
409,Bokeler Str.,Bokel,33790,5201
410,Gütersloher Str.,"",33790,5201
411,Eggeberger Str.,Eggeberg,33790,5201
412,Hohlweg,Eggeberg,33790,5201
413,Egge,Eggeberg,33790,5201
414,Turmstr.,Eggeberg,33790,5201
415,Kleistr.,Eggeberg,33790,5201
416,Theenhausener Str.,Eggeberg,33790,5201
417,Hesseltal,Eggeberg,33790,5201
418,Müdsiek,Eggeberg,33790,5201
419,Niederfeldstr.,Eggeberg,33790,5201
421,Fischweg,Hörste,33790,5201
422,Fuchsweg,Hörste,33790,5201
423,Hörster Str.,Hörste,33790,5201
424,Rotdornweg,Hörste,33790,5201
425,Ruthebachstr.,Hörste,33790,5201
426,Fliederstr.,Hörste,33790,5201
427,Suttheide,Hörste,33790,5201
428,Veilchenstr.,Hörste,33790,5201
429,Kuhlenweg,Hörste,33790,5201
430,Heuermanns Weg,Hörste,33790,5201
431,Bruchstr.,Hörste,33790,5201
432,Nelkenstr.,Hörste,33790,5201
433,Fleerweg,Hörste,33790,5201
434,Alte Dorfstr.,Hörste,33790,5201
435,Schloßweg,Hörste,33790,5201
436,Siedinghausener Str.,Hörste,33790,5201
437,Neue Dorfstr.,Hörste,33790,5201
438,Kapellenweg,Hörste,33790,5201
439,Versmolder Str.,Hörste,33790,5201
440,Zum Niederdorf,Hörste,33790,5201
441,Sanddornweg,Hörste,33790,5201
442,Lilienstr.,Hörste,33790,5201
443,Paterpatt,Hörste,33790,5201
444,Tulpenstr.,Hörste,33790,5201
445,Voßbrink,Hörste,33790,5201
446,Weißer Kamp,Hörste,33790,5201
447,Ackerweg,Hörste,33790,5201
448,Sandkuhlenweg,Hörste,33790,5201
449,Holunderstr.,Hörste,33790,5201
450,Voßheide,Hörste,33790,5201
451,Kölkenweg,Hörste,33790,5201
452,Eichenweg,Hörste,33790,5201
453,Jägerstr.,Hörste,33790,5201
454,Stockkämper Weg,Hörste,33790,5201
455,Haartstr.,Hörste,33790,5201
456,Tiegstr.,Hörste,33790,5201
457,Haselnußstr.,Hörste,33790,5201
458,Kirchesch,Hörste,33790,5201
459,Buschweg,Hörste,33790,5201
460,Igelweg,Hörste,33790,5201
461,Rierkstr.,Hörste,33790,5201
462,Koppelweg,Hörste,33790,5201
463,Wacholderstr.,Hörste,33790,5201
464,Hasenweg,Hörste,33790,5201
466,Weststr.,Halle,33790,5201
467,Albert-Schweitzer-Str.,Halle,33790,5201
468,Masurenweg,Halle,33790,5201
469,Margarethe-Windthorst-Str.,Halle,33790,5201
470,Elsa-Brändström-Str.,Halle,33790,5201
471,Am Kleinebach,Halle,33790,5201
472,Am Hang,Halle,33790,5201
473,Mühlenweg,Halle,33790,5201
474,Arrode,Halle,33790,5201
475,Schmisingstr.,Halle,33790,5201
476,Berliner Str.,Halle,33790,5201
477,Kirchplatz,Halle,33790,5201
478,Storkenstr.,Halle,33790,5201
479,Goethestr.,Halle,33790,5201
480,Bonhoefferstr.,Halle,33790,5201
481,Ulmenweg,Halle,33790,5201
482,Winnebrockstr.,Halle,33790,5201
483,Waldenburger Str.,Halle,33790,5201
484,Langer Brink,Halle,33790,5201
485,Walnussweg,Halle,33790,5201
486,Kättkenstr.,Halle,33790,5201
487,Heckenweg,Halle,33790,5201
488,Künsebecker Weg,Halle,33790,5201
489,Christoph-Probst-Str.,Halle,33790,5201
490,Alexander-Schmorell-Str.,Halle,33790,5201
491,Schillerstr.,Halle,33790,5201
492,Erlenweg,Halle,33790,5201
493,Am Laibach,Halle,33790,5201
494,Schäferstr.,Halle,33790,5201
495,Nansenstr.,Halle,33790,5201
496,Im Winkel,Halle,33790,5201
497,Oldendorfer Str.,Halle,33790,5201
498,Kampstr.,Halle,33790,5201
499,Fahlenbreede,Halle,33790,5201
500,Bielefelder Str.,Halle,33790,5201
501,Pestalozzistr.,Halle,33790,5201
502,Kiskerstr.,Halle,33790,5201
503,Graebestr.,Halle,33790,5201
504,Hartmanns Kamp,Halle,33790,5201
505,Wischkamp,Halle,33790,5201
506,Rundweg,Halle,33790,5201
507,Wiesenstr.,Halle,33790,5201
508,Alleestr.,Halle,33790,5201
509,Schlesierweg,Halle,33790,5201
510,Maximilian-Kolbe-Str.,Halle,33790,5201
511,Hoffmannstr.,Halle,33790,5201
512,Nadeweg,Halle,33790,5201
513,Am Meisenbrink,Halle,33790,5201
514,Am Stadtrand,Halle,33790,5201
515,Schützenberg,Halle,33790,5201
516,In den Gärten,Halle,33790,5201
517,Bachstr.,Halle,33790,5201
518,Osnabrücker Str.,Halle,33790,5201
519,Gartenstr.,Halle,33790,5201
520,Thüringer Weg,Halle,33790,5201
521,Platanenweg,Halle,33790,5201
522,Kleeweg,Halle,33790,5201
523,Grenzweg,Halle,33790,5201
524,Hartmanns Wäldchen,Halle,33790,5201
525,Brandenburger Weg,Halle,33790,5201
526,Rilkestr.,Halle,33790,5201
527,Zum Laibachtal,Halle,33790,5201
528,Hagedornstr.,Halle,33790,5201
529,Brunnenweg,Halle,33790,5201
530,Wasserwerkstr.,Halle,33790,5201
531,Samlandweg,Halle,33790,5201
532,Lettow-Vorbeck-Str.,Halle,33790,5201
533,Heidekamp,Halle,33790,5201
534,Danziger Weg,Halle,33790,5201
535,Mecklenburger Weg,Halle,33790,5201
536,Hofweg,Halle,33790,5201
537,Neulehenstr.,Halle,33790,5201
538,Am Wall,Halle,33790,5201
539,Industriestr.,Halle,33790,5201
540,Sandgrabenweg,Halle,33790,5201
541,Fröbelstr.,Halle,33790,5201
542,Bahnhofstr.,Halle,33790,5201
543,Starrexweg,Halle,33790,5201
544,Geschwister-Scholl-Str.,Halle,33790,5201
545,Gartnischer Weg,Halle,33790,5201
546,Birkenweg,Halle,33790,5201
547,Tiefer Weg,Halle,33790,5201
548,Pommernweg,Halle,33790,5201
549,Große Heide,Halle,33790,5201
550,Brandheide,Halle,33790,5201
551,Humpenweg,Halle,33790,5201
552,Weidenstr.,Halle,33790,5201
553,Heideweg,Halle,33790,5201
554,Alter Marktplatz,Halle,33790,5201
555,Amselstr.,Halle,33790,5201
556,Jahnstr.,Halle,33790,5201
557,Friedhofstr.,Halle,33790,5201
558,Behringstr.,Halle,33790,5201
559,Osningstr.,Halle,33790,5201
560,Bismarckstr.,Halle,33790,5201
561,Postweg,Halle,33790,5201
562,Kleine Str.,Halle,33790,5201
563,Grüner Weg,Halle,33790,5201
564,Am Lött,Halle,33790,5201
565,Buchenweg,Halle,33790,5201
566,Sandkamp,Halle,33790,5201
567,Mönchstr.,Halle,33790,5201
568,Lindartstr.,Halle,33790,5201
